,jgebbia,georgesoros,historydefined,neuralink,beeple,Grimezsz,thesheetztweetz,elonmusk
44,Thank you for having me! https://t.co/duJYLYs3Xs,It was an honor to have the chance to work with Lani Guinier in the struggle to advance civil and human rights. She… https://t.co/nyenAZSUNt,"A young French boy posing as a  soldier with a dog wearing a pickelhaube, 1915. https://t.co/eBab9JUdEl",,👀👀👀👀👀👀👀👀👀👀👀👀👀 https://t.co/n5fFZaz4QR,@miragonz Dead,"Rocket Lab announced the catch was successful but, about a minute after the booster came in view, a collective sigh… https://t.co/ID57XXUeZy",
45,Design in the wild! https://t.co/NCXdxaRUYs,A just approach to drug policy is critical to building an open society. https://t.co/IgvFjsp1Qw,"Ancient wooden gate of temple, Purulia, West Bengal https://t.co/79agKl9WYL",,"my everyday from April 19, 2013 -- made the day they captured the boston marathon bomber. the scene in NYC right no… https://t.co/I9n7CcG2Fg","RT @yessfun: @Grimezsz @Nnedi read the story for @AtmosMag here!

https://t.co/U3dYadU1VR","Rocket Lab's helicopter catches the Electron booster as it returns to Earth after launching, a massive milestone in… https://t.co/6tToqq5t6e",
46,Consumer plastics have been around for 50+ years…and they are only now discovering this? 🤔 https://t.co/0u71ts7IvH,"In Kyrgyzstan, violence against women is widespread yet underreported. A group of investigative journalists is shin… https://t.co/QVRRhTdAec","A bird's-eye view of Masada, built by Herod the Great as a palace complex on top of an isolated rock plateau at the… https://t.co/tVPFsraLFQ",,BEYOND PUMPED for my first museum show!!  and to be shown alongside a work by Francis Bacon... such an absolute ins… https://t.co/GzdetmDQyg,@bellapoarch @Cosmopolitan Congrats !!!!!! Also u look amazing,@Peter_J_Beck Electron's booster comes into the livestream view: https://t.co/CRsdUztyZ1,
47,👏🏼👏🏼 https://t.co/ExXzNSpbvS,"In Brazil, pop culture and social media are legitimizing the political influence of the police—to the serious detri… https://t.co/O4u8nKUKPk",A mummified dog and baboon were buried together at the tomb KV50 in the Valley of Kings. Possibly dates to the reig… https://t.co/ad4BbtF0yR,,ELON'S FIRST TWITTER BOARD MEETING https://t.co/07u2VwElMj,@Aella_Girl Honestly I’m reading the Koch biography rn and I rly think dude is not getting laid,@Peter_J_Beck Rocket Lab's helicopter pilot has the orange parachute carrying Electron's booster in their sights.,
48,@pmarca Go deeper…X% of your followers aren’t actual people,"RT @malloch_brown: Though we live with its dark side, the internet at its best still allows citizens to freely exchange culture, ideas and…",How did the Marathon get it's name? https://t.co/hbbLF3m33m,,"RT @KellyCrowWSJ: Breaking! ⁦@beeple⁩ reaches the next phase in his art-world ascent — his art will be shown alongside Francis Bacon, Kader…",@Aella_Girl The less boring u r the more hate u get.   That’s why everyone bullies pop stars and not oil barons,@Peter_J_Beck $RKLB mission control: Electron's main parachute deployed.,
49,RT @Gen_Atomic: One of the few positive takeaways from the war in Ukraine is the long-overdue reconciliation of people’s overblown fear of…,"A pledge of $100 million to support feminist leadership on the frontlines against nationalism, populism, and religi… https://t.co/dd4e6ViWuR","Fashion model in front of Guggenheim Museum, New York, wearing hat that resembles the museum. Photo by Tony Vaccaro. https://t.co/VeEmfnvITR",,And that is what I think is very exciting about digital art  — because it does not have an inherent physical form i… https://t.co/4BSeghBkyU,@Aella_Girl living outside of the Overton window tends to prompt a lot of hate,@Peter_J_Beck Rocket Lab mission control announces that Electron's booster deployed its drogue parachute.,
50,"As of today, 3.3+ million refugees have been forced to leave Ukraine. When you give, I'll match you so we can help… https://t.co/hImbFImRVs",The Taliban continues to restrict media freedom and women’s rights. https://t.co/zs1StCvpic,"Colossal granite head of King AmenhotepII, Karnek, 1370 BC

The British Museum https://t.co/HHUq13VFGM",,(For still images) I think there is something about an work being COMMITTED into a permanent object that makes you… https://t.co/ZUTTB59lyz,"@eigenrobot Huge L for the Celts, Gauls tho , never recovered","From the background audio of Rocket Lab folks watching the livestream, sounds like @Peter_J_Beck is cracking some good jokes.",
51,‘Make something people want’ https://t.co/KbhpIM2Tce,RT @AlexanderSoros: Channeling state advertising to friendly media—and away from outlets that ask difficult questions—has been a key weapon…,"Ceramic water pipes found near Epang Palace. China, Warring States, 5th-3rd century BCE https://t.co/Bl3s4S1elD",,doing a gallery show with physical works was definitely completely new to me but I’m so glad I did it because it re… https://t.co/E4AKG4wvjE,@Liv_Boeree Don’t reveal it’s true form !,Here we go: Booster separation. Now the hunt to catch Electron begins. https://t.co/0gVE4ETE7f,
52,@Gen_Atomic @chrislehane,Slovakia has apologized for the forced sterilization of thousands of Roma women. Compensation and more efforts towa… https://t.co/Zn5ZJcAV8M,"Meymand is an ancient village in Iran, dating back to 12,000 years ago. Many of the residents live in the 350 hand-… https://t.co/rZ0bSob5Ri",,".@kitbash3d FTW. just got a bunch of their new packs, holy fuck. Kid in a candy store. 😍😍😍😍😍😍😍",In conversation with one of my favorite sci fi authors @Nnedi for Atmos __ cc Bryan Huynh 📷 https://t.co/faybGihnGb,A view back at New Zealand's Mahia Peninsula as Electron accelerates toward orbit: https://t.co/VNoFvOPgXA,
53,@UNRefugeeAgency Ukrainians fleeing the crisis in their country need protection. @UNRefugeeAgency is on the ground… https://t.co/o6ULtZagl0,"As the new Omicron variant spreads, it becomes even more urgent that G7 countries and pharmaceutical corporations l… https://t.co/sIsZOFHZyj","Photographers in front of the Hermès Store in Monaco during the Grand Prix, 1968 https://t.co/3ZS6X3Zz6G",,ACT NOW https://t.co/7OIgwlLJal,Cyber Vikings 🪐🗡 https://t.co/tqDXGspItj,"Liftoff for Rocket Lab's Electron!

The primary mission to deliver 34 satellites to orbit is underway, but the seco… https://t.co/7evdqq09Y3",
54,"Thank you to the companies who are stepping up, and extending an invitation to others who wish to join us. Contact… https://t.co/xNT8i2x1eS","RT @OpenSociety: Congratulations to the 2021 Soros Equality Fellows, whose projects range from documenting the U.S. caregiving crisis to es…",The History Behind the Cruel Roman Practice of Decimation https://t.co/Fpe7cVTgbY,,🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪 https://t.co/MARi2OG3fr,@Liv_Boeree What!  How did we not know abt this,@muriellebaker @SpaceflightInc $RKLB countdown resuming at just over T-13 minutes,
55,"""Do more than belong: participate. Do more than care: help. Do more than believe: practice.""

- William Arthur Ward",Vaccine equity means ensuring that the most marginalized have access to a COVID-19 vaccine. https://t.co/HsxTljOzrR,"“Undine rising from the waters,"" Chauncey Bradley Ives 1810-1894. https://t.co/w3M7ZYK5LU",,💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀🚀 https://t.co/bokIg9fxrA,@carolineplz @mattcopson 🤯 touché,"@muriellebaker @SpaceflightInc A quick view from onboard Rocket Lab's rocket-catching helicopter, as the countdown… https://t.co/QJ0s5JryEh",
56,"Please join me in donating to @UNRefugeeAgency and I will match your generous gift up to $1,000,000, creating doubl… https://t.co/GQAbwpJabb",Toxic industrial pollution is endangering lives in many areas across the U.S. https://t.co/kB3gR4aPeL,Johnny Cash in 1965 after being arrested for trespassing on private property to pick flowers. https://t.co/rHmLZR6vdW,,RICH MAN https://t.co/9clHdX89mv,@isabelleboemeke Peta abt to make an angry sign tho y’all,"@muriellebaker @SpaceflightInc Rocket Lab $RKLB holding countdown at T-12 minutes.

""Standby for an update here shortly.""",
57,"RT @Skiminok: Full translation by @Hromadske of Nadia Sukhorukova's chilling account of life in Mariupol.
Source: https://t.co/bft8a2EMVV h…",Open Society has been at the forefront of expanding open access to scholarly research. Now the International Scienc… https://t.co/2kk7oudvv6,1970s computing https://t.co/qTbFFWdza7,,@carmeljenkin @opensea love this!,@unity Wtf wow,Rocket Lab's @muriellebaker confirms the previously unidentified @SpaceflightInc customers onboard are IoT picosate… https://t.co/bHS0kPZfSk,
58,"Happy to assist, Mr. President. Go @aplusk &amp; Mila! https://t.co/5zzu99UD7b",Attacks targeting healthcare workers in conflict zones like Syria must stop. https://t.co/0qqPcUXnzH,"Frank Zappa with his Mom and Dad, 1970 https://t.co/DaZEmh9feO",,"@JustinianNFT couldn't agree more, that's why i said 2178 ;)",@blssnd Can’t wait to show the HT logo,"Rocket Lab is about 20 minutes away from launching its Electron  rocket – and, for the first time, use a helicopter… https://t.co/FeAUvWELbH",
59,👏🏼👏🏼 https://t.co/WZYT0VFtS8,An important recognition of the harm caused by the CIA torture program at Guantanamo Bay. https://t.co/Wy0NMFKOxn,Cannabis rights activist Ben Masel smoking a joint while voting in the 1976 Presidential election. Taking advantage… https://t.co/otWwpvXMfi,,ELON MUSK 2178 https://t.co/X4353w1VE0,@Aella_Girl This was honestly a beautiful thread,RT @RocketLab: Our guide to catching a rocket with a helicopter https://t.co/ZnlewFORkl,
60,"@LeandroVallej14 Thanks for coming. To find product market fit, find 100 people that say they love your app/company.",Doing away with informal economic sectors in developing countries would only serve to make inequality worse. https://t.co/EvVUn1Q4So,"Behind the scenes with Doc &amp; Einstein on Back to the Future Part II, 1989 https://t.co/31wwLsF3ei",,😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫 https://t.co/5LpLYvXuWR,@carolineplz @mattcopson Coining the term baroque twee for posterity,Blue Origin thread on BE-4 engine development and testing: https://t.co/2pPi3vBcuy,
61,@YahooNews @BenStiller,"A Danish court is hearing a case brought by residents, with the help of @OpenSociety, against a discriminatory plan… https://t.co/76d22cWdyZ",Jim Croce with wife Ingrid and son. 1971 https://t.co/t2IZaa4CZl,,😱😱😱 WTFFFFFFFFF. I did the visuals on the side of gigafactory 😱😱😱 https://t.co/cVnhdLTlsg,@GENESIS_SENSHI @GHARLIERA1 Damn I would use this!  Fire 🔥,"SpaceX's satellite internet network Starlink has about 150,000 daily active users in Ukraine, according to the coun… https://t.co/Ghtu0trXD7",
62,@celthedesigner Thanks for coming to the talk. Great question. This is our approach: https://t.co/Gf14Eub4zn,Poor countries bear the brunt of the damage caused by the climate crisis. Financing to counter this is in short sup… https://t.co/YVOBsZQ6F9,"RT @historydefined: A World War 1 memorial in Vácrátót, Hungary - a family missing their father. https://t.co/VRW3ZkrgDz",,DEPRECATION CEREMONY https://t.co/tQIEvLTNb3,@hazedlockdown Dude!,@saracsalinas @CNBC Stoked to be working with you!,
63,@thisjackkaido Beautiful piece.,A critical mode of thinking is at the core of building and maintaining an open society. Our social institutions are… https://t.co/DPR78d5n4L,"Located in Air Massif, Niger are two of the biggest animal rock petroglyphs in the world, called the Dabous Giraffe… https://t.co/GMfWmGEQyc",,🚀🚀🚀🤘🚀🚀🚀 https://t.co/x1aUttlukq,🎀🗡🎀 https://t.co/dM1vryXvsd,RT @NWSNewYorkNY: Bet this woke some folks up...lightning struck atop One World Trade Center early this morning as storms moved through. ⚡️…,
64,When elections and video games collide https://t.co/354rb0qdX7,Government disaster aid programs tend to benefit those who are already well-off and reinforce the uneven toll that… https://t.co/6y4EfE87Bp,"Borobudur temple in Central Java, Indonesia. It was built between the 8th-9th centuries CE, by the Shailendra dynas… https://t.co/LlOwqOslck",,"OOFFF!!! did a few things for this… more soons. 🤘🤘🤘

And if anyone is going, find me to say hey!!! 👋👋👋 https://t.co/SAvCSluJnA",@harkonnnen Tanks ! Sorry I’m late ! 🧝🏻‍♀️🧨🤍,"RT @KathyLueders: During a planning call Sunday, Mission Control in Houston told @Space_Station astronauts that #Crew3 continues to target…",
65,https://t.co/dXBm7q6aZ5,RT @OpenSociety: Moldova saw huge public health gains when it recognized palliative care as an essential service in its universal health ca…,"Stoney First Nation member, guide Samson Beaver with his wife Leah and daughter Frances Louise, 1907. 

Photo by Ma… https://t.co/BJoGHv6tk6",,RAW HUMAN https://t.co/PltRDbjH4f,@elonmusk @Rogozin Damn.,@joroulette @EmreKelly brb gonna register Yeeter Inc.,
66,Who is making these Bizarro World decisions? https://t.co/xbghxV0kzM,Ensuring every community has a voice is vital in an open society. A new Open Society commitment to Native American-… https://t.co/QfRib1d0Hh,Give us a follow on Instagram! https://t.co/9r4kaTxyN6,,🚀🚀🚀 https://t.co/ShmTNqOdpl,@zeoxys8 @vanity @DevinGordonX I have two things ready to drop now but checking da legalities,@EmreKelly @joroulette recruitment skyrocketing for the United States Yeet Force,
67,@benblumenrose 😂😂😂,A critical mode of thinking is at the core of building and maintaining an open society. Our social institutions are… https://t.co/TkEJUaVDff,Demonstration against Prohibition in Chicago during the 1920s. https://t.co/u50bR8sBNG,,SMEAR PAINTING I https://t.co/U02LSovZtQ,"@theresaparty @hasanthehun Yes, I just keep not being in LA but I feel bad for postponing this like ten times haha","@whoisheartbreak Falcon 9 lands, the 6th time for this booster: https://t.co/phvkEX3eyG",
